Kielmachtauf,Datum
1,2013-10-06
1,2013-11-03
1,2014-03-02
1,2014-10-05
1,2014-11-02
1,2015-03-01
1,2015-10-03
1,2015-11-08
1,2016-03-04
1,2016-03-06
1,2016-10-02
1,2016-10-07
1,2016-11-04
1,2016-11-06
1,2017-03-05
1,2017-05-07
1,2017-10-01
1,2017-11-05
1,2018-03-04
1,2018-04-29
1,2018-10-07
1,2018-11-04
1,2019-03-03
1,2019-04-27
1,2013-10-06
1,2013-11-03
1,2014-03-02
1,2014-10-05
1,2014-11-02
1,2015-03-01
1,2015-10-03
1,2015-11-08
1,2016-03-04
1,2016-03-06
1,2016-10-02
1,2016-10-07
1,2016-11-04
1,2016-11-06
1,2017-03-05
1,2017-05-07
1,2017-10-01
1,2017-11-05
1,2018-03-04
1,2018-04-29
1,2018-10-07
1,2018-11-04
1,2019-03-03
1,2019-04-27
1,2013-10-06
1,2013-11-03
1,2014-03-02
1,2014-10-05
1,2014-11-02
1,2015-03-01
1,2015-10-03
1,2015-11-08
1,2016-03-04
1,2016-03-06
1,2016-10-02
1,2016-10-07
1,2016-11-04
1,2016-11-06
1,2017-03-05
1,2017-05-07
1,2017-10-01
1,2017-11-05
1,2018-03-04
1,2018-04-29
1,2018-10-07
1,2018-11-04
1,2019-03-03
1,2019-04-27
1,2013-10-06
1,2013-11-03
1,2014-03-02
1,2014-10-05
1,2014-11-02
1,2015-03-01
1,2015-10-03
1,2015-11-08
1,2016-03-04
1,2016-03-06
1,2016-10-02
1,2016-10-07
1,2016-11-04
1,2016-11-06
1,2017-03-05
1,2017-05-07
1,2017-10-01
1,2017-11-05
1,2018-03-04
1,2018-04-29
1,2018-10-07
1,2018-11-04
1,2019-03-03
1,2019-04-27
1,2013-10-06
1,2013-11-03
1,2014-03-02
1,2014-10-05
1,2014-11-02
1,2015-03-01
1,2015-10-03
1,2015-11-08
1,2016-03-04
1,2016-03-06
1,2016-10-02
1,2016-10-07
1,2016-11-04
1,2016-11-06
1,2017-03-05
1,2017-05-07
1,2017-10-01
1,2017-11-05
1,2018-03-04
1,2018-04-29
1,2018-10-07
1,2018-11-04
1,2019-03-03
1,2019-04-27
1,2013-11-03
1,2014-11-02
1,2015-11-08
1,2016-11-04
1,2017-11-05
1,2018-11-04
